DATE,DGS3MO
2019-04-15,2.43
2019-04-16,2.43
2019-04-17,2.44
2019-04-18,2.42
2019-04-19,.
2019-04-22,2.44
2019-04-23,2.45
2019-04-24,2.44
2019-04-25,2.43
2019-04-26,2.42
2019-04-29,2.44
2019-04-30,2.43
2019-05-01,2.43
2019-05-02,2.47
2019-05-03,2.43
2019-05-06,2.44
2019-05-07,2.43
2019-05-08,2.43
2019-05-09,2.43
2019-05-10,2.43
2019-05-13,2.41
2019-05-14,2.41
2019-05-15,2.42
2019-05-16,2.40
2019-05-17,2.39
2019-05-20,2.39
2019-05-21,2.39
2019-05-22,2.38
2019-05-23,2.37
2019-05-24,2.35
2019-05-27,.
2019-05-28,2.37
2019-05-29,2.37
2019-05-30,2.38
2019-05-31,2.35
2019-06-03,2.35
2019-06-04,2.35
2019-06-05,2.35
2019-06-06,2.33
2019-06-07,2.28
2019-06-10,2.29
2019-06-11,2.27
2019-06-12,2.24
2019-06-13,2.19
2019-06-14,2.20
2019-06-17,2.23
2019-06-18,2.22
2019-06-19,2.18
2019-06-20,2.14
2019-06-21,2.11
2019-06-24,2.13
2019-06-25,2.12
2019-06-26,2.15
2019-06-27,2.14
2019-06-28,2.12
2019-07-01,2.21
2019-07-02,2.20
2019-07-03,2.21
2019-07-04,.
2019-07-05,2.23
2019-07-08,2.26
2019-07-09,2.26
2019-07-10,2.20
2019-07-11,2.17
2019-07-12,2.14
2019-07-15,2.16
2019-07-16,2.15
2019-07-17,2.14
2019-07-18,2.05
2019-07-19,2.06
2019-07-22,2.09
2019-07-23,2.06
2019-07-24,2.10
2019-07-25,2.10
2019-07-26,2.12
2019-07-29,2.12
2019-07-30,2.08
2019-07-31,2.08
2019-08-01,2.07
2019-08-02,2.06
2019-08-05,2.05
2019-08-06,2.05
2019-08-07,2.02
2019-08-08,2.02
2019-08-09,2.00
2019-08-12,2.00
2019-08-13,2.00
2019-08-14,1.96
2019-08-15,1.91
2019-08-16,1.87
2019-08-19,1.94
2019-08-20,1.94
2019-08-21,1.97
2019-08-22,2.00
2019-08-23,1.97
2019-08-26,2.01
2019-08-27,1.98
2019-08-28,1.99
2019-08-29,1.99
2019-08-30,1.99
2019-09-02,.
2019-09-03,1.98
2019-09-04,1.97
2019-09-05,1.97
2019-09-06,1.96
2019-09-09,1.96
2019-09-10,1.95
2019-09-11,1.96
2019-09-12,1.95
2019-09-13,1.96
2019-09-16,1.99
2019-09-17,1.99
2019-09-18,1.95
2019-09-19,1.93
2019-09-20,1.91
2019-09-23,1.94
2019-09-24,1.92
2019-09-25,1.89
2019-09-26,1.83
2019-09-27,1.80
2019-09-30,1.88
2019-10-01,1.82
2019-10-02,1.79
2019-10-03,1.70
2019-10-04,1.71
2019-10-07,1.75
2019-10-08,1.72
2019-10-09,1.69
2019-10-10,1.68
2019-10-11,1.68
2019-10-14,.
2019-10-15,1.67
2019-10-16,1.66
2019-10-17,1.66
2019-10-18,1.66
2019-10-21,1.67
2019-10-22,1.65
2019-10-23,1.65
2019-10-24,1.67
2019-10-25,1.66
2019-10-28,1.65
2019-10-29,1.63
2019-10-30,1.62
2019-10-31,1.54
2019-11-01,1.52
2019-11-04,1.53
2019-11-05,1.56
2019-11-06,1.56
2019-11-07,1.56
2019-11-08,1.55
2019-11-11,.
2019-11-12,1.59
2019-11-13,1.57
2019-11-14,1.57
2019-11-15,1.57
2019-11-18,1.57
2019-11-19,1.57
2019-11-20,1.57
2019-11-21,1.58
2019-11-22,1.58
2019-11-25,1.61
2019-11-26,1.60
2019-11-27,1.62
2019-11-28,.
2019-11-29,1.59
2019-12-02,1.60
2019-12-03,1.57
2019-12-04,1.55
2019-12-05,1.54
2019-12-06,1.53
2019-12-09,1.54
2019-12-10,1.56
2019-12-11,1.57
2019-12-12,1.56
2019-12-13,1.57
2019-12-16,1.57
2019-12-17,1.56
2019-12-18,1.56
2019-12-19,1.57
2019-12-20,1.58
2019-12-23,1.59
2019-12-24,1.58
2019-12-25,.
2019-12-26,1.58
2019-12-27,1.57
2019-12-30,1.57
2019-12-31,1.55
2020-01-01,.
2020-01-02,1.54
2020-01-03,1.52
2020-01-06,1.56
2020-01-07,1.54
2020-01-08,1.54
2020-01-09,1.54
2020-01-10,1.54
2020-01-13,1.57
2020-01-14,1.57
2020-01-15,1.57
2020-01-16,1.55
2020-01-17,1.56
2020-01-20,.
2020-01-21,1.56
2020-01-22,1.55
2020-01-23,1.55
2020-01-24,1.54
2020-01-27,1.55
2020-01-28,1.57
2020-01-29,1.56
2020-01-30,1.57
2020-01-31,1.55
2020-02-03,1.57
2020-02-04,1.57
